collection_date,callsign,flag,mmsi,current_position,cord_n,cord_w,pos_recieved,speed,status,destination,ETA,reference
2021-06-03,NZJB,United States (USA),368700000,US East Coast,30.39915,81.5236,3 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=368700000
2021-06-03,NANL,United States (USA),367819000,US East Coast,36.93063,76.3322,2 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=367819000
2021-06-03,NEHM,USA,338931000,East Asia,35.11917,129.07001,27 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=338931000
2021-06-03,NHRD,Alaska,303845000,South East Asia,3.39717,100.3635,46 days ago  ,26.9,-,-,-,https://www.vesselfinder.com/?mmsi=303845000
2021-06-03,NIJB,USA,338815000,North Pacific Ocean,13.96933,144.43,23 days ago  ,18.3,-,-,-,https://www.vesselfinder.com/?mmsi=338815000
2021-06-03,NJTC,USA,338902000,US East Coast,39.88795,75.19076,1 mn ago  ,0.2,Moored,-,-,https://www.vesselfinder.com/?mmsi=338902000
2021-06-03,NHLS,United States (USA),368707000,US East Coast,33.69893,78.16139,907 days ago  ,17.2,-,-,-,https://www.vesselfinder.com/?mmsi=368707000
2021-06-03,NHMX,United States (USA),366985000,North America West Coast,31.899,120.33953,3 days ago  ,33.3,-,-,-,https://www.vesselfinder.com/?mmsi=366985000
2021-06-03,NZIN,USA,338929000,Persian Gulf,26.92888,51.35373,416 days ago  ,11.3,-,-,-,https://www.vesselfinder.com/?mmsi=338929000
2021-06-03,NBVJ,Alaska,303890000,North America West Coast,47.55765,122.63345,16 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=303890000
2021-06-03,NHNM,United States (USA),368836000,North East Atlantic Ocean,36.01452,11.1373,43 hours ago  ,31.9,-,-,-,https://www.vesselfinder.com/?mmsi=368836000
2021-06-03,NBHG,United States (USA),368026000,US East Coast,36.86576,76.31605,1 mn ago  ,0.0,Moored,"Norfolk, United States (USA)","May 5, 10:00",https://www.vesselfinder.com/?mmsi=368026000
2021-06-03,NBWY,USA,338806000,North Pacific Ocean,13.84302,144.62998,90 days ago  ,20.2,-,-,-,https://www.vesselfinder.com/?mmsi=338806000
2021-06-03,NBMK,USA,338846000,US East Coast,36.86558,76.31578,1 mn ago  ,0.2,Restricted,-,-,https://www.vesselfinder.com/?mmsi=338846000
2021-06-03,NAMJ,United States (USA),367832000,US East Coast,39.26912,76.57068,196 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=367832000
2021-06-03,NAKL,United States (USA),367834000,US East Coast,39.26868,76.57148,1 mn ago  ,0.2,Moored,-,-,https://www.vesselfinder.com/?mmsi=367834000
2021-06-03,GPWS,United Kingdom (UK),235118002,North East Atlantic Ocean,50.38594,3.41134,12 days ago  ,17.4,-,-,-,https://www.vesselfinder.com/?mmsi=235118002
2021-06-03,NUJR,United States (USA),367211000,North America West Coast,29.24007,121.08415,12 hours ago  ,27.2,Under way,-,-,https://www.vesselfinder.com/?mmsi=367211000
2021-06-03,NAQH,United States (USA),367821000,US East Coast,36.97285,76.43364,1 mn ago  ,0.0,Moored,"Norfolk, United States (USA)","Jun 30, 12:00",https://www.vesselfinder.com/?mmsi=367821000
2021-06-03,NHLL,United States (USA),368991000,Gulf of Mexico,29.90857,90.09689,73 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=368991000
2021-06-03,NAMW,United States (USA),368992000,North America West Coast,37.74801,122.38332,2 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=368992000
2021-06-03,NBXO,United States (USA),367833000,North America West Coast,37.74828,122.37971,22 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=367833000
2021-06-03,NDSP,United States (USA),367190000,US East Coast,39.27365,76.58597,47 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=367190000
2021-06-03,NPEJ,United States (USA),367185000,US East Coast,39.27374,76.58627,2 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=367185000
2021-06-03,NRZA,United States (USA),368988000,Gulf of Mexico,29.90822,90.09675,72 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=368988000
2021-06-03,NMVG,United States (USA),368989000,Gulf of Mexico,30.02534,93.99951,2 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=368989000
2021-06-03,NLWA,United States (USA),366987000,Gulf of Mexico,30.02535,93.99963,2 mns ago  ,0.0,Moored,"Beaumont, United States (USA)","May 20, 11:00",https://www.vesselfinder.com/?mmsi=366987000
2021-06-03,NLWA,United States (USA),366987000,-,-,-,2 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=366987000
2021-06-03,NSWP,United States (USA),366204000,US East Coast,36.86806,76.31855,120 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=366204000
2021-06-03,NKCK,United States (USA),366203000,US East Coast,36.86682,76.31697,59 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=366203000
2021-06-03,NDWB,United States (USA),367240000,US East Coast,36.86701,76.31724,1 mn ago  ,0.2,Under way,-,-,https://www.vesselfinder.com/?mmsi=367240000
2021-06-03,NHNT,United States (USA),367348000,US East Coast,29.88926,80.09879,49 days ago  ,23.9,-,-,-,https://www.vesselfinder.com/?mmsi=367348000
2021-06-03,NHNU,United States (USA),367371000,US East Coast,32.8597,79.95912,2 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=367371000
2021-06-03,NBOB,United States (USA),367049000,North Pacific Ocean,13.45954,144.63633,2 mns ago  ,0.4,At anchor,-,-,https://www.vesselfinder.com/?mmsi=367049000
2021-06-03,NWRB,United States (USA),367370000,North America West Coast,8.4639,79.45541,45 days ago  ,28.9,-,-,-,https://www.vesselfinder.com/?mmsi=367370000
2021-06-03,NWRB,United States (USA),367370000,-,-,-,45 days ago  ,28.9,-,-,-,https://www.vesselfinder.com/?mmsi=367370000
2021-06-03,NHMN,United States (USA),367384000,South Africa,34.52855,17.11412,658 days ago  ,24.1,-,-,-,https://www.vesselfinder.com/?mmsi=367384000
2021-06-03,WLDL,United States (USA),366221000,North America West Coast,47.27441,122.4562,7 days ago  ,0.0,-,"Tacoma, United States (USA)","Sep 27, 07:12",https://www.vesselfinder.com/?mmsi=366221000
2021-06-03,WMHV,United States (USA),366235000,US East Coast,32.84991,79.93853,2 mn ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 19, 20:00",https://www.vesselfinder.com/?mmsi=366235000
2021-06-03,WMHL,United States (USA),366670000,US East Coast,32.84934,79.93651,3 mns ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 24, 18:00",https://www.vesselfinder.com/?mmsi=366670000
2021-06-03,WMHF,United States (USA),368922000,US East Coast,32.85029,79.9402,1 mn ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 24, 13:30",https://www.vesselfinder.com/?mmsi=368922000
